pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1612	5601	3633	3385	2110	1694	1123	822	534	206	210	41	5
home---secondary	4281	5116	1122	505	545	638	647	649	671	615	515	540	2823
home---work	11152	10520	4267	1936	1896	2006	1802	1577	1559	1308	1100	1104	4240
pt interaction---home	1589	5532	3690	3404	2090	1588	1122	879	546	209	229	39	8
pt interaction---pt interaction	22949	36127	4934	1946	1481	856	460	410	636	447	335	382	588
pt interaction---secondary	2307	2650	1331	812	607	449	204	80	37	38	22	2	0
pt interaction---work	2534	3853	2026	1473	1255	999	205	34	19	13	26	0	0
secondary---home	4222	5101	1395	462	474	570	604	659	680	619	513	527	2817
secondary---pt interaction	2405	2787	1149	801	608	465	163	86	31	39	27	2	0
work---home	9207	11335	4368	1943	1701	1558	1765	2108	1760	1404	1187	1271	4935
work---pt interaction	2594	3813	1906	1445	1406	925	200	22	14	11	26	0	0

average leg duration: 1055.4102750717145 seconds = 00:17:35
