pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	823	3010	2073	1875	1216	1083	681	562	338	143	131	24	8
home---secondary	307	416	322	619	887	1317	1508	1785	1870	1905	1588	1581	8931
home---work	873	1049	766	1270	2272	3081	3664	4099	4474	4470	3986	3791	15312
pt interaction---home	833	2954	2086	1921	1187	1014	672	617	347	137	146	22	11
pt interaction---pt interaction	16907	23531	2084	44	1	0	2	0	0	0	1	0	0
pt interaction---secondary	1109	1319	624	441	283	200	99	31	14	31	17	2	0
pt interaction---work	1627	2369	1270	968	776	562	158	24	15	12	16	0	0
secondary---home	287	395	366	617	888	1319	1510	1786	1871	1904	1589	1583	8927
secondary---pt interaction	1162	1372	545	425	283	206	75	33	11	30	20	2	0
work---home	909	978	806	1271	2274	3078	3669	4115	4489	4471	3979	3781	15301
work---pt interaction	1647	2387	1184	928	894	535	153	16	11	11	17	0	0

average leg duration: 2193.957103415366 seconds = 00:36:33
