pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1624	5840	3897	3537	2400	2009	1311	1006	620	270	285	35	8
home---secondary	792	1001	410	564	765	1103	1302	1457	1489	1430	1214	1217	6869
home---work	2375	2628	887	1150	1990	2541	3002	3219	3439	3360	2988	2821	11255
pt interaction---home	1579	5829	3924	3554	2360	1878	1326	1068	634	265	313	35	12
pt interaction---pt interaction	26479	43799	5542	947	489	155	152	187	129	76	9	1	0
pt interaction---secondary	2012	2336	1144	795	541	408	194	68	30	37	26	2	0
pt interaction---work	3161	4654	2450	1867	1529	1149	313	48	26	22	30	0	0
secondary---home	779	959	467	564	766	1108	1299	1467	1483	1432	1215	1214	6854
secondary---pt interaction	2113	2475	960	781	546	397	159	76	24	35	31	2	0
work---home	2469	2389	1027	1156	2006	2541	3003	3238	3466	3368	2993	2827	11243
work---pt interaction	3149	4728	2301	1820	1724	1062	294	30	18	21	31	0	0

average leg duration: 1599.6818480898137 seconds = 00:26:39
