pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	574	2145	1429	1326	914	778	528	415	235	86	101	17	4
home---secondary	271	384	308	618	927	1328	1611	1858	1958	1994	1683	1685	9385
home---work	778	1009	777	1297	2344	3206	3867	4327	4716	4759	4207	3963	16298
pt interaction---home	571	2097	1437	1351	897	728	516	459	250	83	106	17	6
pt interaction---pt interaction	12401	17495	1557	37	0	0	0	0	0	0	0	0	0
pt interaction---secondary	830	1012	471	329	230	168	80	29	13	17	15	2	0
pt interaction---work	1116	1598	863	673	549	408	105	17	9	8	10	0	0
secondary---home	267	373	325	618	927	1327	1609	1864	1959	1993	1684	1685	9383
secondary---pt interaction	897	1037	395	324	236	163	65	29	9	17	18	2	0
work---home	830	923	811	1301	2345	3207	3879	4332	4742	4752	4204	3962	16290
work---pt interaction	1113	1614	819	626	628	397	97	9	7	6	10	0	0

average leg duration: 2417.212501153243 seconds = 00:40:17
