pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2711	8247	3955	2958	1609	1181	808	522	320	116	144	24	8
home---secondary	5005	6669	1480	773	623	400	315	321	314	209	158	145	571
home---work	11031	11882	5800	4578	3469	2222	1438	1166	842	494	352	346	904
pt interaction---home	2634	8177	4073	2966	1600	1100	816	556	320	124	153	21	10
pt interaction---pt interaction	25538	35479	4844	2347	1622	499	321	321	170	79	21	0	4
pt interaction---secondary	3175	3475	1405	813	559	454	172	75	34	33	26	2	0
pt interaction---work	3593	4468	1782	1032	778	534	130	16	11	15	21	0	0
secondary---home	4762	6721	1978	658	556	347	293	304	297	212	165	143	564
secondary---pt interaction	3219	3591	1253	795	566	467	140	85	27	33	28	2	0
work---home	10047	15149	7391	3844	2309	1104	821	835	698	628	457	376	901
work---pt interaction	3717	4353	1693	1031	851	513	130	13	10	12	21	0	0

average leg duration: 701.7205095953173 seconds = 00:11:41
