pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2140	7245	4169	3610	2224	1643	1095	797	461	190	207	34	7
home---secondary	4628	5942	1221	539	516	504	525	523	492	419	324	297	1486
home---work	12783	13189	3900	2094	1868	1499	1119	1034	946	938	729	680	2093
pt interaction---home	2107	7166	4262	3600	2194	1553	1095	854	466	190	230	34	9
pt interaction---pt interaction	27530	42687	5161	1707	905	517	357	223	5	2	0	0	0
pt interaction---secondary	2716	3216	1464	909	622	484	195	78	37	36	31	2	0
pt interaction---work	3330	4623	2272	1505	1153	858	205	25	18	20	23	0	0
secondary---home	4445	5822	1604	503	488	490	518	529	499	421	324	288	1477
secondary---pt interaction	2777	3361	1313	868	634	488	163	89	32	38	33	2	0
work---home	10605	15231	4608	1263	1467	1482	1705	1167	968	943	727	687	2089
work---pt interaction	3366	4617	2141	1476	1257	828	209	12	18	14	24	0	0

average leg duration: 797.409581683034 seconds = 00:13:17
