pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2738	8260	3886	2901	1620	1174	794	518	327	115	148	21	8
home---secondary	4981	6666	1495	803	655	415	309	319	273	217	162	123	572
home---work	10764	11239	5755	5004	4028	2330	1438	1098	829	570	401	288	866
pt interaction---home	2668	8227	3992	2899	1611	1097	796	550	325	121	160	21	9
pt interaction---pt interaction	25389	35269	5087	2451	1726	610	279	250	134	58	32	3	0
pt interaction---secondary	3153	3474	1432	802	554	447	175	80	34	32	31	2	0
pt interaction---work	3590	4425	1741	1061	748	545	127	11	9	16	21	0	0
secondary---home	4777	6712	1995	664	568	358	285	304	268	216	161	126	565
secondary---pt interaction	3206	3602	1263	785	562	460	143	89	29	31	35	2	0
work---home	9619	14645	7904	3598	2915	1174	863	800	770	692	418	363	874
work---pt interaction	3737	4322	1644	1046	833	512	124	8	9	13	21	0	0

average leg duration: 705.3154688675332 seconds = 00:11:45
