pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	899	3368	2268	2045	1389	1222	757	620	353	162	151	28	4
home---secondary	308	452	333	609	887	1269	1526	1757	1809	1858	1568	1505	8786
home---work	972	1205	785	1264	2275	3029	3630	3993	4356	4313	3860	3666	14829
pt interaction---home	899	3339	2262	2081	1371	1135	764	665	365	163	160	27	7
pt interaction---pt interaction	18217	26064	2195	54	4	0	1	0	0	0	1	0	0
pt interaction---secondary	1186	1428	707	479	302	242	104	33	16	22	18	2	0
pt interaction---work	1865	2661	1407	1064	829	644	179	30	14	13	21	0	0
secondary---home	315	418	363	607	888	1269	1523	1763	1812	1856	1570	1506	8779
secondary---pt interaction	1243	1504	602	473	306	228	88	38	11	23	19	2	0
work---home	1030	1103	830	1266	2278	3032	3632	3998	4378	4311	3863	3667	14815
work---pt interaction	1848	2707	1359	1005	962	589	166	23	9	11	22	0	0

average leg duration: 2113.098574152367 seconds = 00:35:13
