pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1894	6518	4129	3719	2303	1860	1225	923	578	221	226	40	9
home---secondary	4088	5120	1021	464	488	587	649	687	687	626	539	503	2498
home---work	12086	12046	2841	1111	1238	1329	1416	1394	1473	1382	1204	1100	3888
pt interaction---home	1868	6444	4226	3721	2274	1762	1246	968	592	220	247	38	10
pt interaction---pt interaction	27737	43129	5139	1421	916	565	368	168	2	2	0	0	0
pt interaction---secondary	2470	2981	1360	930	607	504	196	84	38	45	32	2	0
pt interaction---work	3110	4578	2336	1654	1336	1035	234	35	22	26	30	0	0
secondary---home	3965	4977	1323	456	476	582	638	688	687	623	543	498	2493
secondary---pt interaction	2559	3101	1183	920	615	512	159	94	29	48	35	2	0
work---home	10408	12739	3257	1040	1697	1504	1434	1416	1495	1389	1202	1097	3866
work---pt interaction	3163	4583	2191	1602	1505	992	228	23	19	21	33	0	0

average leg duration: 943.3237603754137 seconds = 00:15:43
