pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1565	5425	3470	3208	2055	1609	1026	803	502	186	200	39	9
home---secondary	4858	5695	1350	558	589	601	591	524	523	470	374	365	1945
home---work	9705	10743	4536	3009	2688	2338	2007	1569	1669	1553	1500	1042	3211
pt interaction---home	1527	5363	3512	3230	2049	1504	1027	855	519	191	221	36	14
pt interaction---pt interaction	19999	31953	4572	2580	1561	1037	995	863	768	666	619	569	2579
pt interaction---secondary	2308	2768	1346	869	617	476	199	77	35	44	22	2	0
pt interaction---work	2339	3493	1820	1363	1153	885	195	30	15	16	25	0	0
secondary---home	4789	5849	1612	509	511	539	482	502	495	447	365	362	1964
secondary---pt interaction	2418	2889	1159	855	625	494	154	85	29	43	27	2	0
work---home	8473	9138	4794	2624	2526	2330	1958	1617	1753	1508	1526	1582	5807
work---pt interaction	2374	3485	1724	1317	1276	828	193	21	12	13	25	0	0

average leg duration: 1094.988048757605 seconds = 00:18:14
