pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2769	8340	3926	2889	1572	1164	775	516	313	112	147	22	8
home---secondary	4931	6655	1468	803	636	406	316	340	289	202	152	133	618
home---work	10833	10826	6055	5091	3725	2230	1644	1177	792	649	388	308	890
pt interaction---home	2701	8278	4031	2884	1567	1092	780	536	319	116	159	20	11
pt interaction---pt interaction	25591	35316	4785	2233	1664	660	363	270	156	71	35	4	1
pt interaction---secondary	3179	3502	1423	803	570	436	174	76	32	35	25	2	0
pt interaction---work	3539	4477	1753	1049	769	511	137	13	13	15	20	0	0
secondary---home	4712	6742	1939	675	554	363	287	325	268	202	154	132	613
secondary---pt interaction	3236	3620	1256	790	576	450	139	82	27	35	27	2	0
work---home	9866	14848	7344	3644	2954	1236	863	821	722	663	434	362	892
work---pt interaction	3688	4350	1658	1034	854	479	138	9	13	12	20	0	0

average leg duration: 707.371199229298 seconds = 00:11:47
