pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1945	6722	4412	3992	2650	2209	1448	1056	710	267	282	52	9
home---secondary	1587	1965	549	500	676	932	1063	1144	1215	1169	970	971	5590
home---work	4816	5086	1114	1017	1686	2119	2507	2605	2775	2711	2428	2294	8867
pt interaction---home	1898	6686	4471	4033	2600	2070	1441	1139	746	256	309	52	12
pt interaction---pt interaction	28805	47878	6342	1253	717	911	324	176	129	211	63	112	40
pt interaction---secondary	2334	2771	1374	904	608	483	225	73	30	44	29	0	0
pt interaction---work	3507	5173	2708	2007	1703	1344	314	62	17	18	26	0	0
secondary---home	1526	1914	661	502	665	938	1053	1149	1218	1168	972	961	5570
secondary---pt interaction	2413	2958	1180	868	636	489	178	83	25	42	37	0	0
work---home	4937	4689	1381	1012	1704	2127	2521	2613	2802	2721	2438	2305	8850
work---pt interaction	3594	5197	2518	1923	1899	1260	322	36	12	18	25	0	0

average leg duration: 1371.3036837024863 seconds = 00:22:51
