pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1202	4214	2759	2529	1603	1272	781	579	366	134	146	23	5
home---secondary	5288	6070	1375	623	618	626	662	610	575	540	472	450	2322
home---work	9752	10504	4912	2906	2554	1969	2360	2154	1746	1600	1499	1688	4622
pt interaction---home	1179	4152	2803	2545	1598	1191	796	607	366	135	162	22	7
pt interaction---pt interaction	15668	24407	3200	1538	1022	760	710	685	523	601	585	855	2066
pt interaction---secondary	1883	2185	1065	670	497	372	153	67	29	36	17	1	0
pt interaction---work	1757	2612	1455	1049	904	660	143	21	7	13	17	0	0
secondary---home	5240	6319	1748	544	495	536	557	578	538	515	421	431	2304
secondary---pt interaction	1940	2266	956	658	500	381	123	73	24	36	22	1	0
work---home	8547	9194	4745	2657	2744	2294	2065	2016	1874	1651	1470	1744	7320
work---pt interaction	1797	2570	1374	1019	1026	611	138	14	8	9	17	0	0

average leg duration: 1207.1224168306774 seconds = 00:20:07
