pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2777	8434	3888	2844	1584	1143	786	518	310	120	141	22	8
home---secondary	4942	6591	1513	802	650	401	304	329	255	212	169	144	579
home---work	10689	10632	6392	4885	3968	2648	1472	1080	837	515	339	297	890
pt interaction---home	2699	8387	4002	2841	1581	1079	800	552	313	126	153	20	10
pt interaction---pt interaction	25433	35095	4867	2502	1817	641	354	182	80	46	5	0	2
pt interaction---secondary	3202	3526	1441	789	569	443	174	78	31	33	27	2	0
pt interaction---work	3523	4434	1760	1041	744	545	144	13	17	16	23	0	0
secondary---home	4749	6682	1968	668	557	346	274	300	249	214	168	140	572
secondary---pt interaction	3277	3657	1264	773	571	459	144	85	26	31	30	2	0
work---home	9835	14398	7522	4296	2604	1327	938	856	711	626	361	299	887
work---pt interaction	3677	4318	1671	1030	839	507	142	10	15	12	23	0	0

average leg duration: 704.9338811879795 seconds = 00:11:44
