pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2411	7726	4173	3312	1877	1444	979	644	410	152	171	26	8
home---secondary	4967	6354	1410	658	541	424	415	440	359	287	215	193	917
home---work	12061	12972	5656	3087	2391	1696	1374	949	675	625	454	442	1215
pt interaction---home	2334	7682	4265	3309	1875	1347	978	685	416	149	190	25	9
pt interaction---pt interaction	26557	39439	4962	2134	1423	418	266	242	255	94	2	1	0
pt interaction---secondary	2952	3343	1444	849	583	482	193	76	35	39	28	2	0
pt interaction---work	3412	4579	2077	1291	984	705	183	23	11	17	25	0	0
secondary---home	4711	6385	1787	588	505	403	386	444	372	285	219	190	914
secondary---pt interaction	3030	3450	1282	840	591	488	150	83	29	40	32	2	0
work---home	10435	15065	6354	2757	1637	1163	1049	1050	1168	851	467	448	1213
work---pt interaction	3519	4511	1966	1230	1095	685	178	14	13	11	25	0	0

average leg duration: 731.3314786139499 seconds = 00:12:11
