pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2616	8154	4025	2957	1641	1186	807	553	318	120	152	23	9
home---secondary	5033	6632	1496	815	612	393	304	325	283	236	165	151	667
home---work	11236	11659	6064	4465	3611	2049	1329	1045	771	535	392	352	929
pt interaction---home	2539	8111	4095	2957	1643	1117	815	577	324	123	162	23	12
pt interaction---pt interaction	25576	35442	4914	2415	1585	602	313	200	95	54	3	1	1
pt interaction---secondary	3147	3350	1428	818	556	450	171	79	36	28	28	3	0
pt interaction---work	3516	4467	1831	1082	812	548	147	15	13	15	21	0	0
secondary---home	4827	6721	1927	670	530	342	297	320	279	237	164	150	660
secondary---pt interaction	3230	3466	1253	796	558	463	136	87	30	31	29	3	0
work---home	10152	14866	7169	3692	2522	1179	911	852	775	661	420	361	928
work---pt interaction	3642	4368	1715	1089	880	531	135	10	13	12	21	0	0

average leg duration: 706.2164651293589 seconds = 00:11:46
