pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1595	5565	3581	3358	2138	1698	1110	805	536	212	206	44	5
home---secondary	4439	5336	1142	485	505	593	646	631	627	601	519	513	2634
home---work	11742	11226	4039	1918	2078	1720	1674	1380	1373	1276	1079	1055	4026
pt interaction---home	1573	5504	3643	3367	2130	1583	1130	854	551	217	224	44	6
pt interaction---pt interaction	23410	36508	4963	1933	1257	583	562	588	345	363	363	305	195
pt interaction---secondary	2278	2707	1290	799	604	468	211	72	36	44	24	2	0
pt interaction---work	2475	3781	2067	1467	1243	990	199	31	16	20	29	0	0
secondary---home	4337	5290	1442	454	444	562	608	637	632	606	513	507	2630
secondary---pt interaction	2368	2826	1115	788	612	479	170	79	30	44	31	2	0
work---home	9709	12187	4291	1905	1572	1634	1734	1724	1601	1395	1270	1438	4162
work---pt interaction	2522	3784	1947	1439	1395	925	192	18	13	18	29	0	0

average leg duration: 1012.3102952992456 seconds = 00:16:52
