pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1637	5936	3883	3588	2283	1840	1190	880	541	245	204	40	7
home---secondary	4057	4948	1047	433	498	646	675	734	754	673	550	561	2979
home---work	11707	11640	2978	1291	1254	1317	1482	1458	1571	1462	1300	1265	4556
pt interaction---home	1603	5887	3944	3605	2265	1736	1193	929	560	244	228	38	8
pt interaction---pt interaction	25940	40904	4940	1352	794	555	479	205	44	3	0	0	0
pt interaction---secondary	2287	2725	1269	868	632	463	205	84	39	50	27	2	0
pt interaction---work	2821	4167	2199	1649	1393	1064	230	36	24	19	21	0	0
secondary---home	3915	4904	1305	412	481	631	663	735	754	673	553	549	2965
secondary---pt interaction	2347	2858	1112	848	648	475	171	86	35	51	33	2	0
work---home	10067	12542	3297	931	1346	1851	1642	1490	1594	1465	1292	1274	4538
work---pt interaction	2838	4177	2075	1605	1576	988	235	22	21	17	21	0	0

average leg duration: 1010.1280500086821 seconds = 00:16:50
