pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2314	7571	4182	3376	1984	1503	999	691	412	151	180	30	8
home---secondary	4912	6337	1368	609	551	444	420	436	384	331	227	200	995
home---work	12494	12951	5425	2636	2394	1659	1296	921	729	643	519	481	1347
pt interaction---home	2242	7526	4243	3393	1961	1415	1014	725	421	159	191	30	10
pt interaction---pt interaction	26436	40228	5014	2282	1479	375	281	304	207	45	3	1	0
pt interaction---secondary	2909	3258	1469	869	599	503	199	79	34	42	29	2	0
pt interaction---work	3363	4634	2093	1345	995	712	193	21	14	15	24	0	0
secondary---home	4688	6283	1780	545	512	442	406	434	386	333	229	198	990
secondary---pt interaction	2955	3397	1296	856	612	509	164	87	28	42	32	2	0
work---home	10453	15209	6390	2111	1522	1209	1189	1198	1245	684	518	483	1343
work---pt interaction	3476	4550	1984	1305	1111	682	177	18	13	10	24	0	0

average leg duration: 740.4561428777185 seconds = 00:12:20
