pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1716	5961	3894	3567	2286	1857	1243	890	594	246	239	44	6
home---secondary	3798	4498	954	432	495	663	721	763	776	728	625	635	3358
home---work	10917	10816	2818	1503	1259	1376	1598	1555	1704	1628	1380	1337	5230
pt interaction---home	1676	5929	3971	3590	2264	1714	1246	951	609	250	261	44	8
pt interaction---pt interaction	25306	41099	5159	1362	1398	920	445	414	312	126	39	0	0
pt interaction---secondary	2292	2775	1354	867	617	469	196	84	38	44	23	1	0
pt interaction---work	2788	4237	2275	1674	1372	1079	244	44	29	20	21	0	0
secondary---home	3649	4447	1202	418	490	638	699	768	774	728	625	625	3341
secondary---pt interaction	2413	2907	1183	841	613	487	162	92	32	41	30	1	0
work---home	9384	11206	3400	1229	1282	1764	1889	1686	1758	1645	1383	1343	5224
work---pt interaction	2852	4219	2121	1656	1540	988	246	32	21	15	21	0	0

average leg duration: 1077.9180317122984 seconds = 00:17:57
