pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2769	8382	3865	2867	1571	1138	813	533	319	117	142	23	8
home---secondary	4962	6632	1531	775	614	397	318	324	268	191	174	136	618
home---work	10941	11028	5953	4942	3733	2568	1438	1050	804	576	377	324	889
pt interaction---home	2671	8352	3973	2855	1562	1065	817	570	324	119	156	23	10
pt interaction---pt interaction	25530	35166	4855	2278	1558	603	338	191	93	41	2	0	1
pt interaction---secondary	3212	3483	1450	794	538	439	179	81	30	32	26	2	0
pt interaction---work	3533	4471	1788	1034	727	511	151	17	15	13	21	0	0
secondary---home	4744	6706	1995	658	543	334	293	306	262	189	174	136	614
secondary---pt interaction	3257	3626	1268	783	546	455	143	88	24	30	30	2	0
work---home	9823	14989	7406	3901	2736	1166	927	778	724	568	425	330	885
work---pt interaction	3661	4375	1684	1020	805	492	152	11	15	10	21	0	0

average leg duration: 701.9268068469992 seconds = 00:11:41
