pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1178	4329	2940	2685	1749	1490	1004	762	507	199	186	29	6
home---secondary	422	546	333	601	854	1205	1438	1627	1711	1710	1442	1448	8103
home---work	1240	1492	820	1233	2150	2867	3450	3708	4030	4071	3559	3393	13593
pt interaction---home	1178	4278	2945	2728	1729	1379	998	820	529	195	204	29	8
pt interaction---pt interaction	21979	33666	3176	58	2	1	2	1	2	0	1	2	0
pt interaction---secondary	1510	1873	825	597	404	294	140	47	19	36	19	2	0
pt interaction---work	2409	3493	1733	1388	1102	851	229	35	20	13	25	0	0
secondary---home	412	524	368	599	854	1208	1434	1632	1713	1711	1445	1445	8093
secondary---pt interaction	1573	1963	717	573	412	291	113	49	15	41	19	2	0
work---home	1315	1383	849	1235	2173	2861	3452	3727	4061	4067	3552	3392	13585
work---pt interaction	2413	3521	1607	1353	1247	813	223	24	12	12	27	0	0

average leg duration: 1900.2913926047306 seconds = 00:31:40
