pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2656	8118	4019	2956	1631	1213	827	550	346	115	155	16	8
home---secondary	5028	6660	1492	786	614	388	331	336	289	231	169	133	627
home---work	11329	11443	5972	4515	3624	2040	1384	1104	808	591	355	321	930
pt interaction---home	2572	8090	4084	2964	1627	1134	829	584	359	120	166	16	10
pt interaction---pt interaction	25510	35653	4935	2455	1374	487	369	321	197	84	9	1	0
pt interaction---secondary	3108	3414	1430	806	562	460	173	75	34	32	26	2	0
pt interaction---work	3504	4496	1799	1102	822	568	140	12	12	14	19	0	0
secondary---home	4796	6711	1967	653	544	353	317	323	283	232	172	131	621
secondary---pt interaction	3156	3557	1250	795	562	468	140	84	27	32	30	2	0
work---home	10096	14701	7197	3736	2588	1179	855	863	788	682	491	350	926
work---pt interaction	3623	4414	1696	1095	901	537	135	9	12	11	19	0	0

average leg duration: 707.5833801531006 seconds = 00:11:47
