pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1893	6567	4256	3897	2492	2172	1414	1023	662	300	286	38	8
home---secondary	2785	3319	734	464	555	766	827	928	953	924	768	743	4336
home---work	8307	8701	1547	873	1375	1712	1988	2062	2144	2065	1851	1686	6689
pt interaction---home	1857	6497	4347	3901	2482	2037	1406	1096	694	292	310	39	9
pt interaction---pt interaction	28057	46848	5812	1374	828	645	580	192	104	186	248	49	0
pt interaction---secondary	2407	2878	1392	921	630	501	208	74	33	33	27	0	0
pt interaction---work	3311	4825	2585	1897	1556	1269	319	50	35	24	33	0	0
secondary---home	2686	3250	939	453	546	748	817	934	960	923	769	736	4316
secondary---pt interaction	2543	2992	1187	905	657	500	171	81	28	32	33	0	0
work---home	7951	8551	2034	853	1392	1732	1997	2083	2188	2064	1852	1694	6675
work---pt interaction	3320	4869	2427	1846	1759	1187	314	34	24	25	33	0	0

average leg duration: 1187.9567396195541 seconds = 00:19:47
