pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2004	6935	4187	3612	2280	1744	1184	820	532	211	220	33	7
home---secondary	4424	5596	1119	505	542	562	600	617	586	513	382	391	1884
home---work	12687	12621	3416	1738	1545	1351	1305	1203	1161	1076	933	819	2765
pt interaction---home	1959	6887	4267	3612	2229	1645	1194	875	543	214	243	32	10
pt interaction---pt interaction	27248	43263	5177	1719	829	524	461	257	11	0	0	0	2
pt interaction---secondary	2652	3028	1408	903	613	494	193	84	37	40	31	2	0
pt interaction---work	3266	4577	2310	1606	1242	949	228	32	25	20	29	0	0
secondary---home	4226	5463	1490	485	515	575	599	618	587	515	382	389	1875
secondary---pt interaction	2709	3190	1227	886	605	512	165	86	31	38	36	2	0
work---home	10351	14290	4005	1135	1464	1624	1788	1252	1186	1080	934	826	2745
work---pt interaction	3324	4550	2170	1566	1386	919	222	21	19	17	30	0	0

average leg duration: 858.1986686540872 seconds = 00:14:18
