pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1668	5692	3695	3450	2145	1746	1141	824	556	215	208	44	6
home---secondary	4125	4974	1079	499	523	625	686	666	685	657	540	549	2971
home---work	11284	10851	3527	1955	1990	1636	1682	1460	1501	1407	1178	1162	4508
pt interaction---home	1633	5645	3748	3457	2148	1619	1157	872	567	216	230	42	9
pt interaction---pt interaction	23743	37696	4831	1870	1343	655	461	628	585	399	322	300	124
pt interaction---secondary	2351	2663	1350	806	606	470	200	82	36	38	23	2	0
pt interaction---work	2574	3961	2108	1544	1263	1005	212	36	17	18	25	0	0
secondary---home	4045	4933	1357	452	452	592	660	675	692	654	541	544	2961
secondary---pt interaction	2426	2816	1164	795	611	483	164	88	31	38	30	2	0
work---home	9326	11643	3906	1718	1502	1620	2072	1721	1633	1560	1446	1458	4604
work---pt interaction	2648	3915	1982	1510	1420	930	212	24	15	14	25	0	0

average leg duration: 1052.9825437638688 seconds = 00:17:32
