pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2771	8346	3858	2866	1590	1178	818	526	305	115	143	20	6
home---secondary	4991	6672	1517	758	593	406	290	339	277	180	166	139	598
home---work	10768	11076	6163	4925	3663	2304	1680	1171	815	535	367	325	850
pt interaction---home	2691	8314	3958	2877	1582	1102	817	560	316	114	156	19	7
pt interaction---pt interaction	25480	35082	5086	2221	1714	515	361	221	114	54	20	0	1
pt interaction---secondary	3227	3482	1428	789	565	443	176	76	32	33	27	2	0
pt interaction---work	3540	4421	1811	1030	755	510	137	13	11	14	20	0	0
secondary---home	4746	6768	1973	636	519	361	277	308	263	184	170	138	594
secondary---pt interaction	3273	3619	1264	774	575	446	143	84	26	31	32	2	0
work---home	9763	15147	7692	3656	2509	1197	925	756	745	588	480	348	853
work---pt interaction	3680	4336	1699	1019	843	480	136	9	13	10	20	0	0

average leg duration: 702.5962082606003 seconds = 00:11:42
