pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1442	5055	3207	2981	1911	1496	943	714	450	179	183	32	8
home---secondary	4924	5605	1234	593	635	655	612	527	538	465	423	409	2106
home---work	8237	8777	5045	3239	2451	2039	1787	1881	2090	1866	1638	1608	6125
pt interaction---home	1389	5028	3236	2994	1899	1404	947	762	461	184	202	30	13
pt interaction---pt interaction	17466	28541	4059	2386	1152	896	797	895	803	696	761	720	5094
pt interaction---secondary	2252	2663	1318	825	588	468	190	80	33	41	19	3	0
pt interaction---work	2048	3127	1643	1228	1014	805	181	24	14	14	23	0	0
secondary---home	4890	5890	1659	559	502	528	512	506	489	427	364	357	2035
secondary---pt interaction	2337	2769	1160	805	601	485	148	88	28	41	23	3	0
work---home	7781	7741	4139	2352	2523	2315	2137	1825	2028	1525	1308	1485	9684
work---pt interaction	2092	3104	1549	1181	1140	752	176	19	13	12	23	0	0

average leg duration: 1298.650146864662 seconds = 00:21:38
