pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1605	5842	3761	3511	2278	1772	1205	885	561	236	215	36	6
home---secondary	4193	4955	1066	420	494	608	662	721	728	657	565	574	2940
home---work	11807	11695	3028	1660	1260	1340	1404	1475	1560	1443	1261	1191	4490
pt interaction---home	1584	5784	3852	3497	2252	1667	1210	944	577	236	236	35	8
pt interaction---pt interaction	25278	40140	5022	1342	785	501	406	314	261	26	0	0	0
pt interaction---secondary	2265	2774	1260	833	617	494	188	75	42	45	28	2	0
pt interaction---work	2735	4131	2070	1605	1351	1079	220	34	21	19	25	0	0
secondary---home	4028	4965	1298	402	469	594	638	715	734	662	567	566	2921
secondary---pt interaction	2353	2885	1102	821	628	504	154	82	36	46	34	2	0
work---home	10138	12624	3600	967	1221	1731	1732	1649	1619	1460	1251	1196	4481
work---pt interaction	2771	4102	1967	1562	1528	1000	225	22	15	17	26	0	0

average leg duration: 1009.8425460519417 seconds = 00:16:49
