pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2267	7475	4147	3495	2046	1548	1013	728	426	151	182	29	9
home---secondary	4808	6223	1337	593	551	478	437	487	428	334	256	242	1153
home---work	12695	13146	4880	2469	2069	1682	1249	857	784	733	567	545	1591
pt interaction---home	2206	7406	4229	3491	2021	1455	1023	759	436	158	198	27	11
pt interaction---pt interaction	27042	40501	4980	2166	1301	403	247	299	219	30	2	0	0
pt interaction---secondary	2848	3252	1429	895	594	481	193	84	32	40	30	1	0
pt interaction---work	3345	4617	2141	1398	1077	792	189	25	18	14	21	0	0
secondary---home	4613	6128	1722	548	532	470	431	483	435	337	262	239	1147
secondary---pt interaction	2894	3403	1250	878	600	484	157	92	26	41	33	1	0
work---home	10507	14999	5795	2051	1502	1277	1226	1410	1116	758	572	547	1582
work---pt interaction	3414	4546	2024	1365	1202	756	191	17	17	10	20	0	0

average leg duration: 758.9229474663583 seconds = 00:12:38
