pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1535	5648	3748	3363	2258	1903	1241	980	587	247	247	28	9
home---secondary	762	931	384	571	778	1129	1318	1465	1527	1514	1260	1275	7112
home---work	2131	2385	902	1170	2030	2582	3096	3308	3541	3455	3101	2945	11644
pt interaction---home	1509	5625	3774	3381	2219	1787	1249	1045	608	241	277	29	11
pt interaction---pt interaction	25781	41976	5173	850	221	164	194	31	59	45	3	1	1
pt interaction---secondary	1897	2205	1110	726	511	399	187	55	27	38	22	3	0
pt interaction---work	3038	4479	2362	1760	1467	1101	294	47	20	20	26	0	0
secondary---home	707	923	450	577	782	1128	1309	1468	1528	1516	1262	1271	7100
secondary---pt interaction	1954	2378	922	723	508	393	157	62	22	36	27	3	0
work---home	2202	2212	1006	1167	2039	2580	3099	3324	3573	3464	3102	2945	11621
work---pt interaction	3064	4539	2217	1695	1655	1032	282	29	15	15	27	0	0

average leg duration: 1647.941240376151 seconds = 00:27:27
