pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	450	1704	1162	1009	667	644	417	360	199	95	85	10	2
home---secondary	243	371	327	635	932	1366	1628	1923	1996	2013	1739	1688	9654
home---work	743	1033	764	1310	2398	3235	3929	4447	4863	4873	4326	4066	16804
pt interaction---home	447	1675	1171	1020	665	589	401	405	214	88	93	10	4
pt interaction---pt interaction	10128	14353	1303	28	0	0	0	0	0	0	0	0	0
pt interaction---secondary	706	837	393	281	208	148	50	21	14	19	11	3	0
pt interaction---work	862	1239	654	489	428	319	83	15	9	5	10	0	0
secondary---home	268	349	323	636	932	1370	1628	1926	1998	2013	1740	1686	9650
secondary---pt interaction	751	877	340	259	210	145	38	21	11	19	13	3	0
work---home	807	926	805	1317	2403	3232	3927	4451	4872	4874	4326	4068	16801
work---pt interaction	846	1255	620	475	490	296	81	11	7	4	10	0	0

average leg duration: 2546.4025469853286 seconds = 00:42:26
