pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	431	1643	1059	1025	673	615	406	339	193	75	74	11	5
home---secondary	261	353	326	628	937	1365	1645	1904	1995	2037	1756	1701	9684
home---work	747	1065	767	1312	2403	3256	3966	4417	4864	4841	4365	4087	16879
pt interaction---home	419	1626	1071	1031	657	575	408	373	203	72	79	10	6
pt interaction---pt interaction	9678	13983	1323	29	0	0	0	0	0	0	0	0	0
pt interaction---secondary	661	827	396	297	175	142	53	20	10	15	15	3	0
pt interaction---work	773	1220	654	467	400	299	79	20	8	8	7	0	0
secondary---home	254	347	336	632	939	1366	1645	1908	1995	2036	1757	1700	9680
secondary---pt interaction	726	838	344	285	170	142	44	18	9	16	16	3	0
work---home	801	951	824	1317	2404	3258	3969	4422	4868	4839	4364	4087	16879
work---pt interaction	794	1223	610	439	450	296	77	11	6	8	7	0	0

average leg duration: 2562.8267914614758 seconds = 00:42:42
