pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1288	4699	3186	2890	1901	1598	1100	818	524	209	195	34	4
home---secondary	451	612	350	577	856	1200	1422	1629	1688	1644	1404	1379	7859
home---work	1395	1670	819	1211	2117	2784	3344	3649	3846	3930	3486	3241	13101
pt interaction---home	1295	4680	3193	2944	1851	1498	1090	872	542	209	217	32	5
pt interaction---pt interaction	23412	36448	3576	109	5	1	1	0	2	0	0	1	1
pt interaction---secondary	1631	1910	950	641	436	307	141	45	19	34	19	2	0
pt interaction---work	2655	3780	1937	1487	1201	925	229	40	20	18	19	0	0
secondary---home	467	570	381	571	853	1201	1416	1644	1688	1644	1405	1373	7854
secondary---pt interaction	1689	2025	828	611	441	296	127	47	15	38	20	2	0
work---home	1484	1505	884	1215	2125	2775	3350	3661	3874	3924	3485	3240	13093
work---pt interaction	2663	3828	1809	1450	1380	866	211	30	15	17	20	0	0

average leg duration: 1826.8322464172716 seconds = 00:30:26
