pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2053	6943	4217	3685	2231	1656	1171	827	492	202	199	35	7
home---secondary	4519	5720	1128	531	538	537	573	575	548	463	376	341	1765
home---work	12654	12886	3391	1950	1703	1430	1263	1206	1070	1031	884	788	2522
pt interaction---home	2016	6884	4292	3680	2190	1559	1171	881	501	202	226	34	9
pt interaction---pt interaction	27290	42934	5202	1809	796	432	408	295	7	0	0	0	0
pt interaction---secondary	2676	3108	1427	876	611	492	203	85	36	48	28	2	0
pt interaction---work	3317	4556	2271	1565	1184	900	232	40	17	21	23	0	0
secondary---home	4311	5607	1514	485	519	540	580	575	552	466	376	338	1755
secondary---pt interaction	2724	3287	1234	856	616	499	172	89	31	47	31	2	0
work---home	10415	14617	4146	1204	1497	1587	1762	1293	1098	1043	882	791	2512
work---pt interaction	3330	4553	2156	1529	1314	863	238	18	16	16	24	0	0

average leg duration: 838.0549098237186 seconds = 00:13:58
