pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2052	7070	4241	3639	2241	1673	1143	816	493	211	209	33	8
home---secondary	4573	5769	1165	503	521	517	564	547	505	440	356	338	1667
home---work	12667	13138	3621	1846	1752	1390	1241	1145	1067	1022	819	775	2333
pt interaction---home	2015	6985	4342	3626	2206	1585	1143	872	498	215	236	33	9
pt interaction---pt interaction	27569	42976	4968	1982	856	371	414	206	71	1	0	0	0
pt interaction---secondary	2713	3191	1440	897	615	503	190	87	35	47	22	1	0
pt interaction---work	3288	4593	2295	1548	1160	899	210	36	19	19	21	0	0
secondary---home	4366	5628	1578	483	496	503	565	552	508	444	356	332	1660
secondary---pt interaction	2749	3389	1258	846	636	501	160	92	30	46	27	1	0
work---home	10405	14703	4444	1256	1428	1490	1742	1359	1101	1030	821	779	2316
work---pt interaction	3366	4549	2171	1501	1273	879	221	17	16	15	22	0	0

average leg duration: 824.0145209803948 seconds = 00:13:44
