pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	1812	6541	4293	3950	2569	2136	1428	1093	668	286	278	45	9
home---secondary	1235	1583	487	524	694	999	1134	1246	1324	1288	1076	1089	6036
home---work	3701	4024	1021	1068	1793	2256	2668	2845	3056	3008	2684	2442	9721
pt interaction---home	1779	6514	4330	3978	2513	2023	1417	1157	706	286	304	44	11
pt interaction---pt interaction	28680	46977	6220	1077	745	800	272	140	109	188	104	54	6
pt interaction---secondary	2272	2637	1280	888	592	438	201	79	30	46	27	1	0
pt interaction---work	3495	5143	2637	1981	1615	1300	305	47	30	32	32	0	0
secondary---home	1250	1494	573	512	685	998	1124	1248	1327	1284	1077	1085	6018
secondary---pt interaction	2382	2790	1091	855	611	437	176	89	21	47	31	1	0
work---home	3876	3653	1206	1078	1808	2262	2684	2869	3080	3014	2696	2441	9706
work---pt interaction	3556	5160	2431	1941	1799	1226	302	31	19	31	35	0	0

average leg duration: 1446.5837826982968 seconds = 00:24:06
