pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	789	2924	1935	1817	1155	1072	671	550	318	128	115	24	9
home---secondary	277	427	337	616	903	1327	1578	1824	1861	1891	1611	1576	9018
home---work	881	1119	771	1286	2300	3093	3691	4131	4493	4452	3984	3776	15380
pt interaction---home	796	2871	1965	1837	1131	1002	675	594	332	123	124	22	11
pt interaction---pt interaction	16061	22957	1992	33	1	0	1	0	0	0	1	0	0
pt interaction---secondary	1017	1209	618	437	280	209	94	37	16	25	17	1	0
pt interaction---work	1617	2298	1204	871	756	560	169	32	13	11	16	0	0
secondary---home	289	406	347	612	901	1324	1575	1830	1862	1892	1615	1571	9013
secondary---pt interaction	1071	1281	536	422	279	212	72	39	12	26	18	1	0
work---home	914	1037	821	1290	2302	3090	3698	4146	4517	4451	3975	3776	15373
work---pt interaction	1609	2306	1152	840	863	534	160	14	10	10	16	0	0

average leg duration: 2219.802446438413 seconds = 00:36:59
