pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	436	1796	1212	1099	745	696	448	364	194	80	80	10	4
home---secondary	264	372	323	633	947	1357	1649	1922	1979	2004	1709	1699	9601
home---work	752	1045	766	1309	2417	3237	3914	4422	4816	4755	4310	4060	16684
pt interaction---home	439	1776	1207	1124	736	638	433	403	203	77	86	8	5
pt interaction---pt interaction	10552	14795	1386	31	0	0	1	0	0	0	0	0	0
pt interaction---secondary	720	831	439	273	189	154	65	24	14	17	18	3	0
pt interaction---work	882	1387	733	527	440	324	82	17	7	5	13	0	0
secondary---home	256	366	337	632	949	1355	1646	1921	1981	2005	1711	1700	9599
secondary---pt interaction	777	849	376	274	194	146	57	24	10	19	19	3	0
work---home	835	934	792	1312	2423	3240	3915	4427	4826	4756	4309	4064	16684
work---pt interaction	907	1369	677	509	510	299	82	11	5	5	13	0	0

average leg duration: 2519.346705911584 seconds = 00:41:59
