pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
home---pt interaction	2705	8208	4001	2942	1661	1174	800	537	326	130	156	18	8
home---secondary	5015	6645	1499	782	611	382	318	311	317	222	172	134	608
home---work	10901	11797	5997	4653	3356	2164	1347	1019	824	723	388	335	924
pt interaction---home	2624	8169	4100	2941	1646	1098	806	575	334	131	168	18	10
pt interaction---pt interaction	25305	35919	4901	2248	1649	544	273	272	245	73	25	1	1
pt interaction---secondary	3161	3426	1426	816	546	467	179	78	35	28	27	1	0
pt interaction---work	3543	4469	1827	1068	793	569	149	14	12	13	19	0	0
secondary---home	4808	6674	1960	667	546	340	297	308	305	219	174	134	601
secondary---pt interaction	3224	3561	1248	788	562	474	139	91	28	28	29	1	0
work---home	9980	15048	7287	3947	2237	1022	750	758	898	704	519	388	918
work---pt interaction	3649	4385	1740	1067	882	525	148	10	13	10	19	0	0

average leg duration: 706.1518904274956 seconds = 00:11:46
